id,contract,venue,desk,trader,bid,ask,spread,filled,status,trendSeed,updatedAt
80,Wheat Mar 26,Sao Paulo,D-628,Noah Park,66.30,66.55,0.25,67,At risk,19,5s ago
81,Copper May 26,Chicago,D-844,Iris Chen,68.00,68.05,0.05,80,Open,20,1s ago
82,Nickel Jul 26,Singapore,D-1071,Sofia Bell,69.70,69.80,0.10,93,Filled,21,2s ago
83,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,71.40,71.55,0.15,10,Monitoring,22,3s ago
84,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,73.10,73.30,0.20,23,At risk,23,4s ago
85,Cocoa Jan 26,Chicago,D-251,Maya Chen,74.80,75.05,0.25,36,Open,24,5s ago
86,Cotton Mar 26,Singapore,D-628,Noah Park,76.50,76.55,0.05,49,Filled,25,1s ago
87,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,78.20,78.30,0.10,62,Monitoring,26,2s ago
88,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,79.90,80.05,0.15,75,At risk,27,3s ago
89,Copper Sep 26,Chicago,D-1563,Theo Ivanov,81.60,81.80,0.20,88,Open,28,4s ago
90,Nickel Nov 26,Singapore,D-2874,Luca Perez,83.30,83.55,0.25,8,Filled,29,5s ago
91,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,85.00,85.05,0.05,18,Monitoring,12,1s ago
92,Lithium Mar 26,Sao Paulo,D-628,Noah Park,86.70,86.80,0.10,31,At risk,13,2s ago
93,Cocoa May 26,Chicago,D-844,Iris Chen,88.40,88.55,0.15,44,Open,14,3s ago
94,Cotton Jul 26,Singapore,D-1071,Sofia Bell,90.10,90.30,0.20,57,Filled,15,4s ago
95,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,91.80,92.05,0.25,70,Monitoring,16,5s ago
96,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,61.50,61.55,0.05,83,At risk,17,1s ago
97,Copper Jan 26,Chicago,D-251,Maya Chen,63.20,63.30,0.10,8,Open,18,2s ago
98,Nickel Mar 26,Singapore,D-628,Noah Park,64.90,65.05,0.15,13,Filled,19,3s ago
99,Aluminum May 26,Frankfurt,D-844,Iris Chen,66.60,66.80,0.20,26,Monitoring,20,4s ago
100,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,68.30,68.55,0.25,39,At risk,21,5s ago
101,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,70.00,70.05,0.05,52,Open,22,1s ago
102,Cotton Nov 26,Singapore,D-2874,Luca Perez,71.70,71.80,0.10,65,Filled,23,2s ago
103,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,73.40,73.55,0.15,78,Monitoring,24,3s ago
104,Wheat Mar 26,Sao Paulo,D-628,Noah Park,75.10,75.30,0.20,91,At risk,25,4s ago
105,Copper May 26,Chicago,D-844,Iris Chen,76.80,77.05,0.25,8,Open,26,5s ago
106,Nickel Jul 26,Singapore,D-1071,Sofia Bell,78.50,78.55,0.05,21,Filled,27,1s ago
107,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,80.20,80.30,0.10,34,Monitoring,28,2s ago
108,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,81.90,82.05,0.15,47,At risk,29,3s ago
109,Cocoa Jan 26,Chicago,D-251,Maya Chen,83.60,83.80,0.20,60,Open,12,4s ago
110,Cotton Mar 26,Singapore,D-628,Noah Park,85.30,85.55,0.25,73,Filled,13,5s ago
111,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,87.00,87.05,0.05,86,Monitoring,14,1s ago
112,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,88.70,88.80,0.10,8,At risk,15,2s ago
113,Copper Sep 26,Chicago,D-1563,Theo Ivanov,90.40,90.55,0.15,16,Open,16,3s ago
114,Nickel Nov 26,Singapore,D-2874,Luca Perez,60.10,60.30,0.20,29,Filled,17,4s ago
115,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,61.80,62.05,0.25,42,Monitoring,18,5s ago
116,Lithium Mar 26,Sao Paulo,D-628,Noah Park,63.50,63.55,0.05,55,At risk,19,1s ago
117,Cocoa May 26,Chicago,D-844,Iris Chen,65.20,65.30,0.10,68,Open,20,2s ago
118,Cotton Jul 26,Singapore,D-1071,Sofia Bell,66.90,67.05,0.15,81,Filled,21,3s ago
119,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,68.60,68.80,0.20,94,Monitoring,22,4s ago
120,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,70.30,70.55,0.25,11,At risk,23,5s ago
121,Copper Jan 26,Chicago,D-251,Maya Chen,72.00,72.05,0.05,24,Open,24,1s ago
122,Nickel Mar 26,Singapore,D-628,Noah Park,73.70,73.80,0.10,37,Filled,25,2s ago
123,Aluminum May 26,Frankfurt,D-844,Iris Chen,75.40,75.55,0.15,50,Monitoring,26,3s ago
124,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,77.10,77.30,0.20,63,At risk,27,4s ago
125,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,78.80,79.05,0.25,76,Open,28,5s ago
126,Cotton Nov 26,Singapore,D-2874,Luca Perez,80.50,80.55,0.05,89,Filled,29,1s ago
127,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,82.20,82.30,0.10,8,Monitoring,12,2s ago
128,Wheat Mar 26,Sao Paulo,D-628,Noah Park,83.90,84.05,0.15,19,At risk,13,3s ago
129,Copper May 26,Chicago,D-844,Iris Chen,85.60,85.80,0.20,32,Open,14,4s ago
130,Nickel Jul 26,Singapore,D-1071,Sofia Bell,87.30,87.55,0.25,45,Filled,15,5s ago
131,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,89.00,89.05,0.05,58,Monitoring,16,1s ago
132,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,90.70,90.80,0.10,71,At risk,17,2s ago
133,Cocoa Jan 26,Chicago,D-251,Maya Chen,60.40,60.55,0.15,84,Open,18,3s ago
134,Cotton Mar 26,Singapore,D-628,Noah Park,62.10,62.30,0.20,8,Filled,19,4s ago
135,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,63.80,64.05,0.25,14,Monitoring,20,5s ago
136,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,65.50,65.55,0.05,27,At risk,21,1s ago
137,Copper Sep 26,Chicago,D-1563,Theo Ivanov,67.20,67.30,0.10,40,Open,22,2s ago
138,Nickel Nov 26,Singapore,D-2874,Luca Perez,68.90,69.05,0.15,53,Filled,23,3s ago
139,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,70.60,70.80,0.20,66,Monitoring,24,4s ago
140,Lithium Mar 26,Sao Paulo,D-628,Noah Park,72.30,72.55,0.25,79,At risk,25,5s ago
141,Cocoa May 26,Chicago,D-844,Iris Chen,74.00,74.05,0.05,92,Open,26,1s ago
142,Cotton Jul 26,Singapore,D-1071,Sofia Bell,75.70,75.80,0.10,9,Filled,27,2s ago
143,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,77.40,77.55,0.15,22,Monitoring,28,3s ago
144,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,79.10,79.30,0.20,35,At risk,29,4s ago
145,Copper Jan 26,Chicago,D-251,Maya Chen,80.80,81.05,0.25,48,Open,12,5s ago
146,Nickel Mar 26,Singapore,D-628,Noah Park,82.50,82.55,0.05,61,Filled,13,1s ago
147,Aluminum May 26,Frankfurt,D-844,Iris Chen,84.20,84.30,0.10,74,Monitoring,14,2s ago
148,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,85.90,86.05,0.15,87,At risk,15,3s ago
149,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,87.60,87.80,0.20,8,Open,16,4s ago
150,Cotton Nov 26,Singapore,D-2874,Luca Perez,89.30,89.55,0.25,17,Filled,17,5s ago
151,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,91.00,91.05,0.05,30,Monitoring,18,1s ago
152,Wheat Mar 26,Sao Paulo,D-628,Noah Park,60.70,60.80,0.10,43,At risk,19,2s ago
153,Copper May 26,Chicago,D-844,Iris Chen,62.40,62.55,0.15,56,Open,20,3s ago
154,Nickel Jul 26,Singapore,D-1071,Sofia Bell,64.10,64.30,0.20,69,Filled,21,4s ago
155,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,65.80,66.05,0.25,82,Monitoring,22,5s ago
156,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,67.50,67.55,0.05,95,At risk,23,1s ago
157,Cocoa Jan 26,Chicago,D-251,Maya Chen,69.20,69.30,0.10,12,Open,24,2s ago
158,Cotton Mar 26,Singapore,D-628,Noah Park,70.90,71.05,0.15,25,Filled,25,3s ago
159,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,72.60,72.80,0.20,38,Monitoring,26,4s ago
160,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,74.30,74.55,0.25,51,At risk,27,5s ago
161,Copper Sep 26,Chicago,D-1563,Theo Ivanov,76.00,76.05,0.05,64,Open,28,1s ago
162,Nickel Nov 26,Singapore,D-2874,Luca Perez,77.70,77.80,0.10,77,Filled,29,2s ago
163,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,79.40,79.55,0.15,90,Monitoring,12,3s ago
164,Lithium Mar 26,Sao Paulo,D-628,Noah Park,81.10,81.30,0.20,8,At risk,13,4s ago
165,Cocoa May 26,Chicago,D-844,Iris Chen,82.80,83.05,0.25,20,Open,14,5s ago
166,Cotton Jul 26,Singapore,D-1071,Sofia Bell,84.50,84.55,0.05,33,Filled,15,1s ago
167,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,86.20,86.30,0.10,46,Monitoring,16,2s ago
168,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,87.90,88.05,0.15,59,At risk,17,3s ago
169,Copper Jan 26,Chicago,D-251,Maya Chen,89.60,89.80,0.20,72,Open,18,4s ago
170,Nickel Mar 26,Singapore,D-628,Noah Park,91.30,91.55,0.25,85,Filled,19,5s ago
171,Aluminum May 26,Frankfurt,D-844,Iris Chen,61.00,61.05,0.05,8,Monitoring,20,1s ago
172,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,62.70,62.80,0.10,15,At risk,21,2s ago
173,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,64.40,64.55,0.15,28,Open,22,3s ago
174,Cotton Nov 26,Singapore,D-2874,Luca Perez,66.10,66.30,0.20,41,Filled,23,4s ago
175,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,67.80,68.05,0.25,54,Monitoring,24,5s ago
176,Wheat Mar 26,Sao Paulo,D-628,Noah Park,69.50,69.55,0.05,67,At risk,25,1s ago
177,Copper May 26,Chicago,D-844,Iris Chen,71.20,71.30,0.10,80,Open,26,2s ago
178,Nickel Jul 26,Singapore,D-1071,Sofia Bell,72.90,73.05,0.15,93,Filled,27,3s ago
179,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,74.60,74.80,0.20,10,Monitoring,28,4s ago
180,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,76.30,76.55,0.25,23,At risk,29,5s ago
181,Cocoa Jan 26,Chicago,D-251,Maya Chen,78.00,78.05,0.05,36,Open,12,1s ago
182,Cotton Mar 26,Singapore,D-628,Noah Park,79.70,79.80,0.10,49,Filled,13,2s ago
183,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,81.40,81.55,0.15,62,Monitoring,14,3s ago
184,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,83.10,83.30,0.20,75,At risk,15,4s ago
185,Copper Sep 26,Chicago,D-1563,Theo Ivanov,84.80,85.05,0.25,88,Open,16,5s ago
186,Nickel Nov 26,Singapore,D-2874,Luca Perez,86.50,86.55,0.05,8,Filled,17,1s ago
187,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,88.20,88.30,0.10,18,Monitoring,18,2s ago
188,Lithium Mar 26,Sao Paulo,D-628,Noah Park,89.90,90.05,0.15,31,At risk,19,3s ago
189,Cocoa May 26,Chicago,D-844,Iris Chen,91.60,91.80,0.20,44,Open,20,4s ago
190,Cotton Jul 26,Singapore,D-1071,Sofia Bell,61.30,61.55,0.25,57,Filled,21,5s ago
191,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,63.00,63.05,0.05,70,Monitoring,22,1s ago
192,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,64.70,64.80,0.10,83,At risk,23,2s ago
193,Copper Jan 26,Chicago,D-251,Maya Chen,66.40,66.55,0.15,8,Open,24,3s ago
194,Nickel Mar 26,Singapore,D-628,Noah Park,68.10,68.30,0.20,13,Filled,25,4s ago
195,Aluminum May 26,Frankfurt,D-844,Iris Chen,69.80,70.05,0.25,26,Monitoring,26,5s ago
196,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,71.50,71.55,0.05,39,At risk,27,1s ago
197,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,73.20,73.30,0.10,52,Open,28,2s ago
198,Cotton Nov 26,Singapore,D-2874,Luca Perez,74.90,75.05,0.15,65,Filled,29,3s ago
199,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,76.60,76.80,0.20,78,Monitoring,12,4s ago
200,Wheat Mar 26,Sao Paulo,D-628,Noah Park,78.30,78.55,0.25,91,At risk,13,5s ago
201,Copper May 26,Chicago,D-844,Iris Chen,80.00,80.05,0.05,8,Open,14,1s ago
202,Nickel Jul 26,Singapore,D-1071,Sofia Bell,81.70,81.80,0.10,21,Filled,15,2s ago
203,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,83.40,83.55,0.15,34,Monitoring,16,3s ago
204,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,85.10,85.30,0.20,47,At risk,17,4s ago
205,Cocoa Jan 26,Chicago,D-251,Maya Chen,86.80,87.05,0.25,60,Open,18,5s ago
206,Cotton Mar 26,Singapore,D-628,Noah Park,88.50,88.55,0.05,73,Filled,19,1s ago
207,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,90.20,90.30,0.10,86,Monitoring,20,2s ago
208,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,91.90,92.05,0.15,8,At risk,21,3s ago
209,Copper Sep 26,Chicago,D-1563,Theo Ivanov,61.60,61.80,0.20,16,Open,22,4s ago
210,Nickel Nov 26,Singapore,D-2874,Luca Perez,63.30,63.55,0.25,29,Filled,23,5s ago
211,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,65.00,65.05,0.05,42,Monitoring,24,1s ago
212,Lithium Mar 26,Sao Paulo,D-628,Noah Park,66.70,66.80,0.10,55,At risk,25,2s ago
213,Cocoa May 26,Chicago,D-844,Iris Chen,68.40,68.55,0.15,68,Open,26,3s ago
214,Cotton Jul 26,Singapore,D-1071,Sofia Bell,70.10,70.30,0.20,81,Filled,27,4s ago
215,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,71.80,72.05,0.25,94,Monitoring,28,5s ago
216,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,73.50,73.55,0.05,11,At risk,29,1s ago
217,Copper Jan 26,Chicago,D-251,Maya Chen,75.20,75.30,0.10,24,Open,12,2s ago
218,Nickel Mar 26,Singapore,D-628,Noah Park,76.90,77.05,0.15,37,Filled,13,3s ago
219,Aluminum May 26,Frankfurt,D-844,Iris Chen,78.60,78.80,0.20,50,Monitoring,14,4s ago
220,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,80.30,80.55,0.25,63,At risk,15,5s ago
221,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,82.00,82.05,0.05,76,Open,16,1s ago
222,Cotton Nov 26,Singapore,D-2874,Luca Perez,83.70,83.80,0.10,89,Filled,17,2s ago
223,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,85.40,85.55,0.15,8,Monitoring,18,3s ago
224,Wheat Mar 26,Sao Paulo,D-628,Noah Park,87.10,87.30,0.20,19,At risk,19,4s ago
225,Copper May 26,Chicago,D-844,Iris Chen,88.80,89.05,0.25,32,Open,20,5s ago
226,Nickel Jul 26,Singapore,D-1071,Sofia Bell,90.50,90.55,0.05,45,Filled,21,1s ago
227,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,60.20,60.30,0.10,58,Monitoring,22,2s ago
228,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,61.90,62.05,0.15,71,At risk,23,3s ago
229,Cocoa Jan 26,Chicago,D-251,Maya Chen,63.60,63.80,0.20,84,Open,24,4s ago
230,Cotton Mar 26,Singapore,D-628,Noah Park,65.30,65.55,0.25,8,Filled,25,5s ago
231,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,67.00,67.05,0.05,14,Monitoring,26,1s ago
232,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,68.70,68.80,0.10,27,At risk,27,2s ago
233,Copper Sep 26,Chicago,D-1563,Theo Ivanov,70.40,70.55,0.15,40,Open,28,3s ago
234,Nickel Nov 26,Singapore,D-2874,Luca Perez,72.10,72.30,0.20,53,Filled,29,4s ago
235,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,73.80,74.05,0.25,66,Monitoring,12,5s ago
236,Lithium Mar 26,Sao Paulo,D-628,Noah Park,75.50,75.55,0.05,79,At risk,13,1s ago
237,Cocoa May 26,Chicago,D-844,Iris Chen,77.20,77.30,0.10,92,Open,14,2s ago
238,Cotton Jul 26,Singapore,D-1071,Sofia Bell,78.90,79.05,0.15,9,Filled,15,3s ago
239,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,80.60,80.80,0.20,22,Monitoring,16,4s ago
240,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,82.30,82.55,0.25,35,At risk,17,5s ago
241,Copper Jan 26,Chicago,D-251,Maya Chen,84.00,84.05,0.05,48,Open,18,1s ago
242,Nickel Mar 26,Singapore,D-628,Noah Park,85.70,85.80,0.10,61,Filled,19,2s ago
243,Aluminum May 26,Frankfurt,D-844,Iris Chen,87.40,87.55,0.15,74,Monitoring,20,3s ago
244,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,89.10,89.30,0.20,87,At risk,21,4s ago
245,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,90.80,91.05,0.25,8,Open,22,5s ago
246,Cotton Nov 26,Singapore,D-2874,Luca Perez,60.50,60.55,0.05,17,Filled,23,1s ago
247,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,62.20,62.30,0.10,30,Monitoring,24,2s ago
248,Wheat Mar 26,Sao Paulo,D-628,Noah Park,63.90,64.05,0.15,43,At risk,25,3s ago
249,Copper May 26,Chicago,D-844,Iris Chen,65.60,65.80,0.20,56,Open,26,4s ago
250,Nickel Jul 26,Singapore,D-1071,Sofia Bell,67.30,67.55,0.25,69,Filled,27,5s ago
